"row","col","TRIAL_INSTANCE","trial","gen","block","ibk","resp","id","check","scres"
1,1,9,"loc_01","geno_01",1,1,1275,1,0,-0.730549781713059
1,2,9,"loc_01","geno_02",1,1,1295,2,1,-0.661956894296885
1,3,9,"loc_01","geno_03",1,1,1620,3,0,0.638344965949357
1,4,9,"loc_01","geno_04",1,1,1663,4,0,1.21572258762182
1,5,9,"loc_01","geno_05",1,2,1015,5,0,-2.16877097963532
1,6,9,"loc_01","geno_06",1,2,1450,6,0,0.209144309069099
1,7,9,"loc_01","geno_07",1,2,1465,7,0,0.194974102065258
1,8,9,"loc_01","geno_08",1,2,1943,8,0,2.60670606148817
1,9,9,"loc_01","geno_09",1,3,1285,9,0,-0.139304585133009
1,10,9,"loc_01","geno_10",1,3,950,10,0,-1.64390771495907
1,11,9,"loc_01","geno_11",1,3,1283,11,1,0.289933502250161
1,12,9,"loc_01","geno_12",1,3,1168,12,0,-0.368564977587179
2,1,9,"loc_01","geno_13",1,4,1380,13,0,-0.0315081758529493
2,2,9,"loc_01","geno_14",1,4,1413,14,0,0.177082019041695
2,3,9,"loc_01","geno_15",1,4,1273,15,0,-0.672291598946998
2,4,9,"loc_01","geno_16",1,4,1273,16,1,-0.0480654110637853
2,5,9,"loc_01","geno_17",1,5,1525,17,0,0.622621856828593
2,6,9,"loc_01","geno_18",1,5,1078,18,0,-1.61567673616846
2,7,9,"loc_01","geno_19",1,5,1575,19,0,0.907400696722485
2,8,9,"loc_01","geno_20",1,5,1553,20,1,1.09474323722102
2,9,9,"loc_01","geno_21",1,6,1643,21,0,1.60740647444651
2,10,9,"loc_01","geno_22",1,6,1225,22,0,-0.323150858295417
2,11,9,"loc_01","geno_23",1,6,910,23,0,-1.31697739115067
3,1,9,"loc_01","geno_17",2,1,1648,24,0,0.492936496676783
3,2,9,"loc_01","geno_12",2,1,1740,25,0,1.26285468703976
3,3,9,"loc_01","geno_22",2,1,1330,26,0,-1.16724173492396
3,4,9,"loc_01","geno_05",2,1,1800,27,0,1.76023581677888
3,5,9,"loc_01","geno_10",2,2,1515,28,0,0.320713872597653
3,6,9,"loc_01","geno_16",2,2,1250,29,1,-0.952323182627127
3,7,9,"loc_01","geno_06",2,2,1205,30,0,-0.524219225753997
3,8,9,"loc_01","geno_04",2,2,1218,31,0,-0.803296000260662
3,9,9,"loc_01","geno_18",2,3,1310,32,0,0.261809392931565
3,10,9,"loc_01","geno_21",2,3,1165,33,0,-0.723940394126356
3,11,9,"loc_01","geno_11",2,3,1193,34,1,-0.639190204251486
3,12,9,"loc_01","geno_15",2,3,1498,35,0,1.32983131149291
4,1,9,"loc_01","geno_23",2,4,1208,36,0,-0.816570830796605
4,2,9,"loc_01","geno_09",2,4,1360,37,0,0.0397106761957117
4,3,9,"loc_01","geno_07",2,4,1300,38,0,-0.677039668497519
4,4,9,"loc_01","geno_03",2,4,1438,39,0,0.424652840334575
4,5,9,"loc_01","geno_20",2,5,1253,40,1,-0.884979313787758
4,6,9,"loc_01","geno_14",2,5,1573,41,0,0.620862903074514
4,7,9,"loc_01","geno_08",2,5,1795,42,0,1.53312499570904
4,8,9,"loc_01","geno_02",2,5,1260,43,1,-0.59140429895678
4,9,9,"loc_01","geno_01",2,6,1195,44,0,-0.542513641252409
4,10,9,"loc_01","geno_19",2,6,1505,45,0,0.966337793865099
4,12,9,"loc_01","geno_13",2,6,1018,46,0,-0.659039209599828
1,1,4,"loc_02","geno_01",1,1,3600,47,0,0.878493118932909
1,2,4,"loc_02","geno_02",1,1,2200,48,1,-1.73998763678068
1,3,4,"loc_02","geno_03",1,1,3500,49,0,0.632227450293812
1,4,4,"loc_02","geno_04",1,1,3000,50,0,-0.788475716658807
1,5,4,"loc_02","geno_05",1,2,4000,51,0,0.455226318549497
1,6,4,"loc_02","geno_06",1,2,3100,52,0,-1.42612617778917
1,7,4,"loc_02","geno_07",1,2,5200,53,0,0.548584683822252
1,8,4,"loc_02","geno_08",1,2,6400,54,0,1.75871237808738
1,9,4,"loc_02","geno_09",1,3,5000,55,0,-0.681798112123204
1,10,4,"loc_02","geno_10",1,3,6200,56,0,1.32114213785965
1,11,4,"loc_02","geno_11",1,3,4200,57,1,-1.29334202064756
1,12,4,"loc_02","geno_12",1,3,6200,58,0,1.07974485958674
2,1,4,"loc_02","geno_13",1,4,4000,59,0,-0.679023068210004
2,2,4,"loc_02","geno_14",1,4,3600,60,0,-0.383863711282214
2,3,4,"loc_02","geno_15",1,4,4600,61,0,1.16764911844139
2,4,4,"loc_02","geno_16",1,4,3400,62,1,-0.39371693535583
2,5,4,"loc_02","geno_17",1,5,4000,63,0,-0.772502429799929
2,6,4,"loc_02","geno_18",1,5,4300,64,0,0.1403652965537
2,7,4,"loc_02","geno_19",1,5,4000,65,0,0.241666047539473
2,8,4,"loc_02","geno_20",1,5,4600,66,1,0.175245896980852
2,9,4,"loc_02","geno_21",1,6,4000,67,0,-0.811813753114987
2,10,4,"loc_02","geno_22",1,6,5500,68,0,2.60717100487009
2,11,4,"loc_02","geno_23",1,6,2800,69,0,-2.1240850489735
3,1,4,"loc_02","geno_17",2,1,5000,70,0,1.82366485881233
3,2,4,"loc_02","geno_12",2,1,5000,71,0,1.33200589227337
3,3,4,"loc_02","geno_22",2,1,2500,72,0,-2.06969750354465
3,4,4,"loc_02","geno_05",2,1,2800,73,0,0.198771842456572
3,5,4,"loc_02","geno_10",2,2,3200,74,0,0.132739344888488
3,6,4,"loc_02","geno_16",2,2,2000,75,1,-0.521275649133608
3,7,4,"loc_02","geno_06",2,2,2200,76,0,0.16171258821942
3,8,4,"loc_02","geno_04",2,2,2800,77,0,0.330860950029692
3,9,4,"loc_02","geno_18",2,3,3200,78,0,0.338962226705289
3,10,4,"loc_02","geno_21",2,3,2200,79,0,-0.166121974402313
3,11,4,"loc_02","geno_11",2,3,2000,80,1,0.191125084428547
3,12,4,"loc_02","geno_15",2,3,2400,81,0,-0.655203400189585
4,1,4,"loc_02","geno_23",2,4,1200,82,0,-0.217151318373298
4,2,4,"loc_02","geno_09",2,4,1800,83,0,0.0370988550166798
4,3,4,"loc_02","geno_07",2,4,2200,84,0,-0.0860885337840073
4,4,4,"loc_02","geno_03",2,4,2000,85,0,-0.307464102651386
4,5,4,"loc_02","geno_20",2,5,2050,86,1,0.123558474670098
4,6,4,"loc_02","geno_14",2,5,1600,87,0,0.0239236631509032
4,7,4,"loc_02","geno_08",2,5,2000,88,0,-0.581871952283453
4,8,4,"loc_02","geno_02",2,5,1000,89,1,0.512104192317801
4,9,4,"loc_02","geno_01",2,6,900,90,0,-1.09976878556443
4,10,4,"loc_02","geno_19",2,6,1000,91,0,-1.13666803419862
4,12,4,"loc_02","geno_13",2,6,4200,92,0,2.24235265748096
1,1,NA,"loc_03","geno_01",1,1,2091,93,0,1.35121645965754
1,2,NA,"loc_03","geno_02",1,1,812,94,1,-1.34949176604917
1,3,NA,"loc_03","geno_03",1,1,2254,95,0,-0.254281369967634
1,4,NA,"loc_03","geno_04",1,1,1000,96,0,-0.724121985057709
1,5,NA,"loc_03","geno_05",1,2,2045,97,0,0.280003756827896
1,6,NA,"loc_03","geno_06",1,2,1600,98,0,1.3887859844011
1,7,NA,"loc_03","geno_07",1,2,1094,99,0,-1.64047143171485
1,8,NA,"loc_03","geno_08",1,2,1716,100,0,-0.0352785209393645
1,9,NA,"loc_03","geno_09",1,3,1670,101,0,0.485244566240582
1,10,NA,"loc_03","geno_10",1,3,1666,102,0,0.229261482280852
1,11,NA,"loc_03","geno_11",1,3,834,103,1,0.340670897011077
1,12,NA,"loc_03","geno_12",1,3,2355,104,0,1.36195870599751
2,1,NA,"loc_03","geno_13",1,4,1940,105,0,-0.256986863221584
2,2,NA,"loc_03","geno_14",1,4,1973,106,0,1.83617852780087
2,3,NA,"loc_03","geno_15",1,4,1630,107,0,0.0291003613600334
2,4,NA,"loc_03","geno_16",1,4,969,108,1,-1.53520423924483
2,5,NA,"loc_03","geno_17",1,5,1094,109,0,-0.547643481975109
2,6,NA,"loc_03","geno_18",1,5,1184,110,0,-2.02912174022156
2,7,NA,"loc_03","geno_19",1,5,1853,111,0,1.01157308360758
2,8,NA,"loc_03","geno_20",1,5,1557,112,1,0.13335968124713
2,9,NA,"loc_03","geno_21",1,6,1831,113,0,0.516170248842013
2,10,NA,"loc_03","geno_22",1,6,1591,114,0,0.272676316088124
2,11,NA,"loc_03","geno_23",1,6,1125,115,0,-0.847472914329956
3,1,NA,"loc_03","geno_17",2,1,825,116,0,-1.08098908950645
3,2,NA,"loc_03","geno_12",2,1,2011,117,0,-0.182392876559076
3,3,NA,"loc_03","geno_22",2,1,1650,118,0,-0.270584355109634
3,4,NA,"loc_03","geno_05",2,1,1894,119,0,0.825927685380047
3,5,NA,"loc_03","geno_10",2,2,1570,120,0,0.0638228553392699
3,6,NA,"loc_03","geno_16",2,2,1013,121,1,0.852836315494466
3,7,NA,"loc_03","geno_06",2,2,1296,122,0,-1.18790507457585
3,8,NA,"loc_03","geno_04",2,2,1285,123,0,0.409370745882688
3,9,NA,"loc_03","geno_18",2,3,1660,124,0,1.69012938419866
3,10,NA,"loc_03","geno_21",2,3,1263,125,0,-0.713875602522338
3,11,NA,"loc_03","geno_11",2,3,799,126,1,-1.07618302250989
3,12,NA,"loc_03","geno_15",2,3,1541,127,0,-0.675203254500592
4,1,NA,"loc_03","geno_23",2,4,1708,128,0,0.516875082648288
4,2,NA,"loc_03","geno_09",2,4,1577,129,0,-0.440112773074424
4,3,NA,"loc_03","geno_07",2,4,1928,130,0,1.62651766576033
4,4,NA,"loc_03","geno_03",2,4,1908,131,0,1.24380066624273
4,5,NA,"loc_03","geno_20",2,5,1714,132,1,-0.0339508136561178
4,6,NA,"loc_03","geno_14",2,5,1410,133,0,-1.44043953782553
4,7,NA,"loc_03","geno_08",2,5,1698,134,0,0.450245686340233
4,8,NA,"loc_03","geno_02",2,5,939,135,1,-0.0553318874442101
4,9,NA,"loc_03","geno_01",2,6,1913,136,0,-0.881497055702698
4,10,NA,"loc_03","geno_19",2,6,1850,137,0,-0.215958410710951
4,12,NA,"loc_03","geno_13",2,6,2128,138,0,0.73757521399316
1,1,17,"loc_04","geno_01",1,1,6860,139,0,-0.670420432139692
1,2,17,"loc_04","geno_02",1,1,8693,140,1,0.388663475449057
1,3,17,"loc_04","geno_03",1,1,8863,141,0,0.743952608369275
1,4,17,"loc_04","geno_04",1,1,8620,142,0,0.089753799338669
1,5,17,"loc_04","geno_05",1,2,8340,143,0,0.0631018864826891
1,6,17,"loc_04","geno_06",1,2,8617,144,0,0.622981939946875
1,7,17,"loc_04","geno_07",1,2,9217,145,0,1.5515841508021
1,8,17,"loc_04","geno_08",1,2,6973,146,0,-0.709231657325939
1,9,17,"loc_04","geno_09",1,3,8417,147,0,0.236260293546084
1,10,17,"loc_04","geno_10",1,3,8070,148,0,0.938207127821742
1,11,17,"loc_04","geno_11",1,3,8517,149,1,0.531238121375292
1,12,17,"loc_04","geno_12",1,3,6363,150,0,-0.760121695121822
2,1,17,"loc_04","geno_13",1,4,6270,151,0,-1.40855204422746
2,2,17,"loc_04","geno_14",1,4,9410,152,0,0.79083350283046
2,3,17,"loc_04","geno_15",1,4,8053,153,0,0.137622491860495
2,4,17,"loc_04","geno_16",1,4,8043,154,1,0.182703053710213
2,5,17,"loc_04","geno_17",1,5,8220,155,0,0.784003514203722
2,6,17,"loc_04","geno_18",1,5,6360,156,0,-0.724218949547643
2,7,17,"loc_04","geno_19",1,5,6793,157,0,-0.403377799246866
2,8,17,"loc_04","geno_20",1,5,6637,158,1,-0.522168774823271
2,9,17,"loc_04","geno_21",1,6,7003,159,0,-0.112778748970348
2,10,17,"loc_04","geno_22",1,6,6513,160,0,-0.688141316132343
2,11,17,"loc_04","geno_23",1,6,6140,161,0,-1.1071271296851
3,1,17,"loc_04","geno_17",2,1,9370,162,0,0.73273077004241
3,2,17,"loc_04","geno_12",2,1,9423,163,0,-0.0284371874769206
3,3,17,"loc_04","geno_22",2,1,10003,164,0,1.25818072744186
3,4,17,"loc_04","geno_05",2,1,9503,165,0,0.950803600535285
3,5,17,"loc_04","geno_10",2,2,6013,166,0,-1.68886490817424
3,6,17,"loc_04","geno_16",2,2,6600,167,1,-1.18042662958678
3,7,17,"loc_04","geno_06",2,2,8983,168,0,0.198111001729632
3,8,17,"loc_04","geno_04",2,2,10097,169,0,1.09603683616325
3,9,17,"loc_04","geno_18",2,3,8417,170,0,-0.245292071647457
3,10,17,"loc_04","geno_21",2,3,6490,171,0,-0.835098051393087
3,11,17,"loc_04","geno_11",2,3,9530,172,1,1.37095522015211
3,12,17,"loc_04","geno_15",2,3,5883,173,0,-2.24784583746857
4,1,17,"loc_04","geno_23",2,4,8130,174,0,-0.234256213782743
4,2,17,"loc_04","geno_09",2,4,10217,175,0,1.26015304968235
4,3,17,"loc_04","geno_07",2,4,6943,176,0,-1.78331603819294
4,4,17,"loc_04","geno_03",2,4,7200,177,0,-0.856098454899303
4,5,17,"loc_04","geno_20",2,5,6193,178,1,-0.960793366469408
4,6,17,"loc_04","geno_14",2,5,9647,179,0,1.17217888716377
4,7,17,"loc_04","geno_08",2,5,8803,180,0,0.0682130041698567
4,8,17,"loc_04","geno_02",2,5,9893,181,1,0.340634855181794
4,9,17,"loc_04","geno_01",2,6,10440,182,0,1.68670536811696
4,10,17,"loc_04","geno_19",2,6,5687,183,0,-1.86483110394126
4,12,17,"loc_04","geno_13",2,6,9747,184,0,1.79676334753895
1,1,19,"loc_05","geno_01",1,1,2890,185,0,0.727279519480312
1,2,19,"loc_05","geno_02",1,1,2372,186,1,-0.685661795159868
1,3,19,"loc_05","geno_03",1,1,2503,187,0,0.365231292008806
1,4,19,"loc_05","geno_04",1,1,2162,188,0,0.124060138675838
1,5,19,"loc_05","geno_05",1,2,2997,189,0,1.07692731695863
1,6,19,"loc_05","geno_06",1,2,2395,190,0,0.291010739889183
1,7,19,"loc_05","geno_07",1,2,2188,191,0,-0.380938053142668
1,8,19,"loc_05","geno_08",1,2,2712,192,0,0.442865700218663
1,9,19,"loc_05","geno_09",1,3,1688,193,0,-0.0846314744296849
1,10,19,"loc_05","geno_10",1,3,1752,194,0,-0.905406161278849
1,11,19,"loc_05","geno_11",1,3,1752,195,1,0.153508489672266
1,12,19,"loc_05","geno_12",1,3,1437,196,0,-0.461809745570372
2,1,19,"loc_05","geno_13",1,4,1775,197,0,-1.32650807363011
2,2,19,"loc_05","geno_14",1,4,NA,198,0,3.01252009065428
2,3,19,"loc_05","geno_15",1,4,2455,199,0,-1.19059425832048
2,4,19,"loc_05","geno_16",1,4,2373,200,1,-0.231558445476418
2,5,19,"loc_05","geno_17",1,5,2793,201,0,0.682430878904423
2,6,19,"loc_05","geno_18",1,5,2548,202,0,-0.124312501950984
2,7,19,"loc_05","geno_19",1,5,2082,203,0,-0.352709437699584
2,8,19,"loc_05","geno_20",1,5,1967,204,1,-0.194718671406265
2,9,19,"loc_05","geno_21",1,6,2052,205,0,0.974299253860897
2,10,19,"loc_05","geno_22",1,6,968,206,0,-1.26015703476665
2,11,19,"loc_05","geno_23",1,6,1840,207,0,-0.722414241060517
3,1,19,"loc_05","geno_17",2,1,2602,208,0,0.719691992773509
3,2,19,"loc_05","geno_12",2,1,1485,209,0,-0.833835913383804
3,3,19,"loc_05","geno_22",2,1,1085,210,0,-0.91135873709654
3,4,19,"loc_05","geno_05",2,1,2342,211,0,-0.112923245507767
3,5,19,"loc_05","geno_10",2,2,2448,212,0,0.96597235351411
3,6,19,"loc_05","geno_16",2,2,2453,213,1,0.639034491058913
3,7,19,"loc_05","geno_06",2,2,1960,214,0,-0.689214251743565
3,8,19,"loc_05","geno_04",2,2,1857,215,0,-0.888260119701212
3,9,19,"loc_05","geno_18",2,3,2967,216,0,1.23312044604387
3,10,19,"loc_05","geno_21",2,3,2252,217,0,-1.07787753588597
3,11,19,"loc_05","geno_11",2,3,2323,218,1,-0.51076400669804
3,12,19,"loc_05","geno_15",2,3,3157,219,0,2.09352387290742
4,1,19,"loc_05","geno_23",2,4,2502,220,0,0.962922285767493
4,2,19,"loc_05","geno_09",2,4,1900,221,0,-0.654231795816795
4,3,19,"loc_05","geno_07",2,4,1957,222,0,-0.129945279471786
4,4,19,"loc_05","geno_03",2,4,2280,223,0,0.0984044305730109
4,5,19,"loc_05","geno_20",2,5,1530,224,1,-0.276498005001666
4,6,19,"loc_05","geno_14",2,5,1337,225,0,-2.96905267678916
4,7,19,"loc_05","geno_08",2,5,2220,226,0,0.455579768034268
4,8,19,"loc_05","geno_02",2,5,2372,227,1,1.03155232812141
4,9,19,"loc_05","geno_01",2,6,3258,228,0,0.867010331713786
4,10,19,"loc_05","geno_19",2,6,2595,229,0,0.383796775352215
4,12,19,"loc_05","geno_13",2,6,2025,230,0,-0.0936278356277446
1,1,1,"loc_06","geno_01",1,1,3167,231,0,-2.32375200387985
1,2,1,"loc_06","geno_02",1,1,4500,232,1,0.610703786175423
1,3,1,"loc_06","geno_03",1,1,4333,233,0,-0.184479066930555
1,4,1,"loc_06","geno_04",1,1,4667,234,0,0.0485801758566525
1,5,1,"loc_06","geno_05",1,2,5333,235,0,1.5434726143812
1,6,1,"loc_06","geno_06",1,2,4083,236,0,-1.00719918298963
1,7,1,"loc_06","geno_07",1,2,4167,237,0,-0.494289762118427
1,8,1,"loc_06","geno_08",1,2,5333,238,0,1.09892083786237
1,9,1,"loc_06","geno_09",1,3,4833,239,0,-0.192527232998863
1,10,1,"loc_06","geno_10",1,3,4667,240,0,0.407495904711698
1,11,1,"loc_06","geno_11",1,3,4000,241,1,-0.967871770175416
1,12,1,"loc_06","geno_12",1,3,4833,242,0,0.745794816145067
2,1,1,"loc_06","geno_13",1,4,5667,243,0,1.81203215465318
2,2,1,"loc_06","geno_14",1,4,5333,244,0,0.74718806223207
2,3,1,"loc_06","geno_15",1,4,4000,245,0,-0.918926137552337
2,4,1,"loc_06","geno_16",1,4,3833,246,1,-0.821289192921254
2,5,1,"loc_06","geno_17",1,5,4167,247,0,-0.826182952131233
2,6,1,"loc_06","geno_18",1,5,4500,248,0,0.573937445798472
2,7,1,"loc_06","geno_19",1,5,4000,249,0,-1.43551367057044
2,8,1,"loc_06","geno_20",1,5,5833,250,1,1.26208352536865
2,9,1,"loc_06","geno_21",1,6,5800,251,0,1.1590303423616
2,10,1,"loc_06","geno_22",1,6,4667,252,0,-0.589701536824221
2,11,1,"loc_06","geno_23",1,6,4333,253,0,-0.243764428342965
3,1,1,"loc_06","geno_17",2,1,3333,254,0,-1.92790958842708
3,2,1,"loc_06","geno_12",2,1,4167,255,0,-0.0220596706520019
3,3,1,"loc_06","geno_22",2,1,4167,256,0,-0.136644931185761
3,4,1,"loc_06","geno_05",2,1,4833,257,0,0.405749816552429
3,5,1,"loc_06","geno_10",2,2,5500,258,0,1.62813593852208
3,6,1,"loc_06","geno_16",2,2,4333,259,1,-0.746833823910982
3,7,1,"loc_06","geno_06",2,2,4333,260,0,-0.0137665425474389
3,8,1,"loc_06","geno_04",2,2,5333,261,0,0.648196162591476
3,9,1,"loc_06","geno_18",2,3,5167,262,0,0.113323590758547
3,10,1,"loc_06","geno_21",2,3,4833,263,0,0.696368662189696
3,11,1,"loc_06","geno_11",2,3,3833,264,1,-1.39433338825175
3,12,1,"loc_06","geno_15",2,3,5000,265,0,1.28935476000301
4,1,1,"loc_06","geno_23",2,4,5167,266,0,0.89102947519493
4,2,1,"loc_06","geno_09",2,4,5000,267,0,0.6903471341322
4,3,1,"loc_06","geno_07",2,4,3833,268,0,-1.17093222358921
4,4,1,"loc_06","geno_03",2,4,4133,269,0,-0.383019401362053
4,5,1,"loc_06","geno_20",2,5,4500,270,1,-0.0886070786742145
4,6,1,"loc_06","geno_14",2,5,4333,271,0,0.178046892251126
4,7,1,"loc_06","geno_08",2,5,3667,272,0,-1.8040265192408
4,8,1,"loc_06","geno_02",2,5,5500,273,1,1.18124993713731
4,9,1,"loc_06","geno_01",2,6,5667,274,0,1.15361907337695
4,10,1,"loc_06","geno_19",2,6,4667,275,0,-0.461575721507404
4,12,1,"loc_06","geno_13",2,6,4167,276,0,-0.882808175029712
1,1,NA,"loc_07","geno_01",1,1,NA,277,0,3.03226073389166
1,2,NA,"loc_07","geno_02",1,1,5208,278,1,-1.66653530881001
1,3,NA,"loc_07","geno_03",1,1,7176,279,0,-0.683029569570597
1,4,NA,"loc_07","geno_04",1,1,6134,280,0,-1.15223862878257
1,5,NA,"loc_07","geno_05",1,2,8681,281,0,0.578815090234768
1,6,NA,"loc_07","geno_06",1,2,7292,282,0,-0.693321408975778
1,7,NA,"loc_07","geno_07",1,2,6319,283,0,-0.540500615227949
1,8,NA,"loc_07","geno_08",1,2,7523,284,0,-0.451522371867781
1,9,NA,"loc_07","geno_09",1,3,5833,285,0,-0.94979224273185
1,10,NA,"loc_07","geno_10",1,3,7917,286,0,1.45547744104075
1,11,NA,"loc_07","geno_11",1,3,5903,287,1,-0.641712424587936
1,12,NA,"loc_07","geno_12",1,3,7639,288,0,0.691259433043477
2,1,NA,"loc_07","geno_13",1,4,7940,289,0,-0.201698372653726
2,2,NA,"loc_07","geno_14",1,4,7870,290,0,0.572341211004406
2,3,NA,"loc_07","geno_15",1,4,8218,291,0,0.459003276519416
2,4,NA,"loc_07","geno_16",1,4,7593,292,1,0.245809789337908
2,5,NA,"loc_07","geno_17",1,5,8912,293,0,1.95259914366383
2,6,NA,"loc_07","geno_18",1,5,6296,294,0,-1.46005614377343
2,7,NA,"loc_07","geno_19",1,5,7407,295,0,0.418398455482751
2,8,NA,"loc_07","geno_20",1,5,5856,296,1,-0.801469373031739
2,9,NA,"loc_07","geno_21",1,6,6296,297,0,0.282282743044066
2,10,NA,"loc_07","geno_22",1,6,5347,298,0,-1.35062774571304
2,11,NA,"loc_07","geno_23",1,6,7616,299,0,1.05668276759178
3,1,NA,"loc_07","geno_17",2,1,8611,300,0,-0.692145348594159
3,2,NA,"loc_07","geno_12",2,1,8171,301,0,-0.186593760747304
3,3,NA,"loc_07","geno_22",2,1,7176,302,0,0.283612637331021
3,4,NA,"loc_07","geno_05",2,1,9144,303,0,0.797653798252045
3,5,NA,"loc_07","geno_10",2,2,7222,304,0,-1.19855548317053
3,6,NA,"loc_07","geno_16",2,2,7940,305,1,0.190743836857452
3,7,NA,"loc_07","geno_06",2,2,8403,306,0,1.18018117145385
3,8,NA,"loc_07","geno_04",2,2,6713,307,0,0.157083862797096
3,9,NA,"loc_07","geno_18",2,3,8056,308,0,1.48668803901036
3,10,NA,"loc_07","geno_21",2,3,6134,309,0,-1.11743961892421
3,11,NA,"loc_07","geno_11",2,3,6296,310,1,-0.377843474945313
3,12,NA,"loc_07","geno_15",2,3,8264,311,0,0.620050530812587
4,1,NA,"loc_07","geno_23",2,4,7917,312,0,-0.475379883043924
4,2,NA,"loc_07","geno_09",2,4,6759,313,0,-0.148076524347938
4,3,NA,"loc_07","geno_07",2,4,6759,314,0,-0.301737784385206
4,4,NA,"loc_07","geno_03",2,4,7685,315,0,0.632025332330567
4,5,NA,"loc_07","geno_20",2,5,6759,316,1,0.0300070664604978
4,6,NA,"loc_07","geno_14",2,5,7361,317,0,-0.244799165024645
4,7,NA,"loc_07","geno_08",2,5,8403,318,0,1.29191912998093
4,8,NA,"loc_07","geno_02",2,5,5139,319,1,-0.637579559431955
4,9,NA,"loc_07","geno_01",2,6,6366,320,0,-2.37951716044887
4,10,NA,"loc_07","geno_19",2,6,7292,321,0,-0.0158947703624639
4,12,NA,"loc_07","geno_13",2,6,7986,322,0,1.02627215428315
